1,4,2024-03-06,21:11:54.999250,22.0,41.0
2,4,2024-03-07,00:41:57.325235,22.0,41.0
3,4,2024-03-07,00:42:20.530285,22.0,41.0
4,4,2024-03-07,00:42:25.790834,22.0,41.0
5,4,2024-03-06,21:25:54.277226,22.0,41.0
6,4,2024-03-07,00:55:56.613253,22.0,39.0
7,4,2024-03-07,00:56:07.182022,22.0,39.0
8,4,2024-03-07,00:56:09.913074,22.0,39.0
9,4,2024-03-07,00:57:19.742378,22.0,38.0
10,4,2024-03-07,00:57:27.461445,22.0,39.0
11,4,2024-03-07,00:57:30.324557,22.0,39.0
12,4,2024-03-07,00:57:38.016719,22.0,39.0
13,4,2024-03-07,00:57:40.882182,22.0,38.0
14,4,2024-03-07,00:57:53.633562,22.0,38.0
15,4,2024-03-07,00:58:01.559446,22.0,38.0
16,4,2024-03-07,00:58:06.723785,22.0,38.0
17,4,2024-03-07,00:58:12.121419,22.0,38.0
18,4,2024-03-07,00:58:17.282620,23.0,38.0
19,4,2024-03-07,00:58:22.680499,22.0,38.0
20,4,2024-03-07,00:58:27.839290,22.0,38.0
21,4,2024-03-07,00:58:35.768890,22.0,38.0
22,4,2024-03-07,00:58:40.921660,22.0,38.0
